Round,Date,Location,Home,Away,Result
1,11/08/2019 14:00,St. James' Park,Newcastle,Arsenal,0 - 1
2,17/08/2019 12:30,Emirates Stadium,Arsenal,Burnley,2 - 1
3,24/08/2019 17:30,Anfield,Liverpool,Arsenal,3 - 1
4,01/09/2019 16:30,Emirates Stadium,Arsenal,Spurs,2 - 2
5,15/09/2019 16:30,Vicarage Road,Watford,Arsenal,2 - 2
6,22/09/2019 16:30,Emirates Stadium,Arsenal,Aston Villa,3 - 2
7,30/09/2019 20:00,Old Trafford,Man Utd,Arsenal,1 - 1
8,06/10/2019 14:00,Emirates Stadium,Arsenal,Bournemouth,1 - 0
9,21/10/2019 20:00,Bramall Lane,Sheffield Utd,Arsenal,1 - 0
10,27/10/2019 16:30,Emirates Stadium,Arsenal,Crystal Palace,2 - 2
11,02/11/2019 15:00,Emirates Stadium,Arsenal,Wolves,1 - 1
12,09/11/2019 17:30,King Power Stadium,Leicester,Arsenal,2 - 0
13,23/11/2019 15:00,Emirates Stadium,Arsenal,Southampton,2 - 2
14,01/12/2019 14:00,Carrow Road,Norwich,Arsenal,2 - 2
15,05/12/2019 20:15,Emirates Stadium,Arsenal,Brighton,1 - 2
16,09/12/2019 20:00,London Stadium,West Ham,Arsenal,1 - 3
17,15/12/2019 16:30,Emirates Stadium,Arsenal,Man City,0 - 3
18,21/12/2019 12:30,Goodison Park,Everton,Arsenal,0 - 0
19,26/12/2019 15:00,Vitality Stadium,Bournemouth,Arsenal,1 - 1
20,29/12/2019 14:00,Emirates Stadium,Arsenal,Chelsea,1 - 2
21,01/01/2020 20:00,Emirates Stadium,Arsenal,Man Utd,2 - 0
22,11/01/2020 12:30,Selhurst Park,Crystal Palace,Arsenal,1 - 1
23,18/01/2020 15:00,Emirates Stadium,Arsenal,Sheffield Utd,1 - 1
24,21/01/2020 20:15,Stamford Bridge,Chelsea,Arsenal,2 - 2
25,02/02/2020 14:00,Turf Moor,Burnley,Arsenal,0 - 0
26,16/02/2020 16:30,Emirates Stadium,Arsenal,Newcastle,4 - 0
27,23/02/2020 16:30,Emirates Stadium,Arsenal,Everton,3 - 2
29,07/03/2020 15:00,Emirates Stadium,Arsenal,West Ham,1 - 0
30,17/06/2020 20:15,Etihad Stadium,Man City,Arsenal,3 - 0
30,20/06/2020 15:00,Amex Stadium,Brighton,Arsenal,2 - 1
31,25/06/2020 18:00,St. Mary's Stadium,Southampton,Arsenal,0 - 2
32,01/07/2020 18:00,Emirates Stadium,Arsenal,Norwich,4 - 0
33,04/07/2020 17:30,Molineux Stadium,Wolves,Arsenal,0 - 2
34,07/07/2020 20:15,Emirates Stadium,Arsenal,Leicester,1 - 1
35,12/07/2020 16:30,Tottenham Hotspur Stadium,Spurs,Arsenal,2 - 1
36,15/07/2020 20:15,Emirates Stadium,Arsenal,Liverpool,2 - 1
37,21/07/2020 20:15,Villa Park,Aston Villa,Arsenal,1 - 0
38,26/07/2020 16:00,Emirates Stadium,Arsenal,Watford,3 - 2
